"ID товари";Каталог;Вендор;"Товарна пропозиція";"Прив'язана картка";"Роздр. ціна, грн";Гарантія;Посилання;"Посилання в каталозі";"Наявність валідної картинки";"Статус товару";Стан;Причина
2744627062;"Тактичний (військовий) одяг та взуття";"No brand";"Тактические летние брюки GECON BR | Nylon-Stretch | Цвет олива";"Nobrand ";2325;;;;ні;"не вивантажений";;"Некоректний вендор"
2744626182;"Тактичний (військовий) одяг та взуття";"No brand";"Полевая рубашка мультикам Defcon 5 Combat";"Nobrand ";2550;;;;ні;"не вивантажений";;"Некоректний вендор"
2744620024;"Тактичний (військовий) одяг та взуття";"No brand";"Зимние перчатки мультикам Softshell";"Nobrand ";600;;;;ні;"не вивантажений";;"Некоректний вендор"
2744622172;"Аксесуари для стрілецької зброї";"No brand";"Магазин для АК коробчатый с окном для контроля количества заряда патронов чорный";"Nobrand ";750;;;;ні;"не вивантажений";;"Некоректний вендор"
2744627082;"Тактичний (військовий) одяг та взуття";"No brand";"Тактические шорты BR Stinger | Стрейч, койот | Лето, ТрО, полевые условия";"Nobrand ";1700;;;;ні;"не вивантажений";;"Некоректний вендор"
2744624661;Рюкзаки;"No brand";"Рюкзак «Kiborg Pro» 70L мультикам (35*68*21см)";"Nobrand ";1500;;;;ні;"не вивантажений";;"Некоректний вендор"
2744627069;"Тактичний (військовий) одяг та взуття";"No brand";"Брюки Han-Wild G3 Multicam с наколенниками | Регулировка + усиление | Для полигона и тактики";"Nobrand ";2180;;;;ні;"не вивантажений";;"Некоректний вендор"
2744625258;"Аксесуари для стрілецької зброї";"No brand";"Крепление адаптер J-arm для монокуляров NVLS";"Nobrand ";4250;;;;ні;"не вивантажений";;"Некоректний вендор"
2744627073;"Тактичний (військовий) одяг та взуття";"No brand";"Брюки Han-Wild G3 Multicam с наколенниками | Регулировка + усиление | Для полигона и тактики";"Nobrand ";2180;;;;ні;"не вивантажений";;"Некоректний вендор"
2744627094;"Тактичне спорядження та амуніція";"No brand";"Маскирующая сетка Militex Пиксель 5х5м (площадь 25 кв.м.)";"Nobrand ";1250;;;;ні;"не вивантажений";;"Некоректний вендор"
2744626025;"Тактичне спорядження та амуніція";"No brand";"Сумка через плече - Пиксель з MOLLE-системою";"Nobrand ";600;;;;ні;"не вивантажений";;"Некоректний вендор"
2744625260;"Аксесуари для стрілецької зброї";"No brand";"Универсальный алюминиевый мост (бридж) для ПНБ";"Nobrand ";6500;;;;ні;"не вивантажений";;"Некоректний вендор"
2744627074;"Тактичний (військовий) одяг та взуття";"No brand";"Брюки Han-Wild G3 Multicam с наколенниками | Регулировка + усиление | Для полигона и тактики";"Nobrand ";2180;;;;ні;"не вивантажений";;"Некоректний вендор"
